cargo,maior_salario_brl,maior_salario_usd
MINISTRO DE ESTADO,78805.71,0
PROCURADOR DA FAZENDA,78805.71,0
PESQUISADOR EM SAUDE PUBLICA,71728.71,0
MEDICO - PCCTAE,60629.83,0
PERITO MEDICO FEDERAL,60629.83,0
Sem informaç,60490.53,6862.26
ESPECIALISTA PORTUARIO - ANS,56682.82,0
PROFESSOR DO MAGISTERIO SUPERIOR,55011.37,0
TECNICO EM ASSUNTOS EDUCACIONAIS,55006.76,0
MEDICO,52472.82,0
PRIMEIRO TENENTE,52404.8,0
SUPERVISOR MEDICO PERICIAL,51277.56,0
DEFENSOR PUBLICO DA UNIAO,50503.57,0
AUDITOR-FISCAL DA RECEITA FEDERAL BRASIL,50391.77,7236.46
AUDITOR FISCAL DO TRABALHO,50391.76,0
AUDITOR FEDERAL DE FINANCAS E CONTROLE,49999.36,0
PROCURADOR FEDERAL,49942.21,0
TECNOLOGISTA,49601.47,0
ENFERMEIRO-AREA,49601.47,0
AGENTE DE ATIV AGROPECUARIAS,49258.43,0
MEDICO VETERINARIO - PCCTAE,49215.83,0
ADVOGADO DA UNIAO,47998.99,0
ESP POL PUBL GESTAO GOVERNAMENTAL,47906.91,0
ANALISTA DE PLANEJAMENTO E ORCAMENTO,47818.07,0
Inválido,47818.07,0
MINISTRO DE PRIMEIRA CLASSE,47818.07,6937.78
TECNICO DE PLANEJAMENTO E PESQUISA,46716.92,0
PRESIDENTE DA REPUBLICA,46366.19,0
VICE-PRESIDENTE DA REPUBLICA,46366.19,0
PROFESSOR ENS BASICO TECN TECNOLOGICO,46134.03,0
MEDICO - PGPE,45829.74,0
MEDICO - 24H,45203.42,0
TECNICO EM RADIOLOGIA,44785.41,0
PESQUISADOR,43762.85,0
ANALISTA DE COMERCIO EXTERIOR,43510.45,0
ANALISTA TECNICO DA SUSEP,43510.45,0
CONSELHEIRO,43247.2,6534.11
AGENTE ADMINISTRATIVO,43160.38,0
TECNOLOGISTA EM SAUDE PUBLICA,42740.09,0
MINISTRO DE SEGUNDA CLASSE,42239.38,9076.52
INSPETOR FEDERAL MERC DE CAPITAIS,42002.66,0
ESP EM REG DE SERV PUB DE TELECOMNICACAO,41783.51,0
ESP EM REGULACAO DE SERV PUB DE ENERGIA,41783.51,0
ESP EM REGULACAO DE AVIACAO CIVIL,41694.67,0
ANALISTA EM INFRA-ESTRUT DE TRANSPORTES,41598.07,0
ASSISTENTE DE ADMINISTRACAO,40672.77,0
ESP EM REG DE SERV DE TRANSP TERRESTRES,40593.52,0
ESP REG DE PET E DER ALC COMB E GAS NAT,40593.52,0
ESPECIALISTA EM REC HIDRICOS,40284.33,0
ESP EM REG DA ATIV CINEMAT E AUDIOVISUAL,40284.33,0
ESPECIALISTA CET PROD INOV SAUDE PUBLICA,40025.78,0
PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,39935.46,0
ANALISTA DE GESTAO EM SAUDE,39617.83,0
ENGENHEIRO,39576.85,0
ESP EM REG DE SERV DE TRANSP AQUAVIARIOS,39194.45,0
ADMINISTRADOR,39193.32,0
ESP EM REGULACAO E VIGILANCIA SANITARIA,38967.55,0
ESP EM GEOL E GEOF DO PETR E GAS NATURAL,38967.55,0
ANALISTA ADMINISTRATIVO,38897.25,0
ASSISTENTE ADMINISTRATIVO,38377.44,0
ENFERMEIRO,38362.88,0
AUDITOR FISCAL FEDERAL AGROPEC,38263.01,0
ESP EM REGULACAO DE SAUDE SUPLEMENTAR,38213.18,0
PRIMEIRO SECRETARIO,37988.39,7051
ASSESSOR ESPECIALIZADO,37980.9,0
ANALISTA DE INFRA-ESTRUTURA,37685.93,0
ESPECIALISTA EM RECURSOS MINERAIS,36966.74,0
PESQ EM PROPRIEDADE INDUSTRIAL,36737.05,0
MEDICO DO TRABALHO,36698.8,0
DELEGADO DE POLICIA CIVIL ESPECIAL,36469.51,0
MEDICO-LEGISTA CIVIL ESPECIAL,36469.51,0
PERITO CRIMINAL CIVIL ESPECIAL,36469.51,0
MEDICO LEGISTA CIVIL ESPECIAL,36469.51,0
ESPECIALISTA EM INFRA-ESTRUTURA SENIOR,36163.66,0
ASSISTENTE SOCIAL,35990.5,0
ANALISTA EM CIENCIA E TECNOLOGIA,35855.67,0
ENFERMEIRO DO TRABALHO,35535.75,0
ENFERMEIRO-ESPECIALISTA,35535.75,0
ANALISTA DE SISTEMAS,35493.99,0
TECNICO DE DESENVOL E ADMINISTRACAO,35493.99,0
FISCAL - EX-TERRITORIOS,35462.22,0
FISIOTERAPEUTA,35230.21,0
PROFESSOR - NS - EX-TERRITORIO,35004.63,0
TECNOL INF GEOGRAFICA ESTATISTICA,34858.64,0
ESPECIALISTA GESTAO TELECOMUNICACOES,34708.66,0
TECNICO DE PLANEJAMENTO,34674.41,0
SANITARISTA,34235.14,0
CONTADOR,34168.02,0
ENGENHEIRO DE TECNOLOGIA MILITAR,34058.3,0
PROFESSOR TITULAR,34028.33,0
ENGENHEIRO ELETRICISTA - NS,33924.74,0
CONTADOR - NS,33924.74,0
PROFESSOR TITULAR-LIVRE MAG SUPERIOR,33719.18,0
ESPECIALISTA EM GEOPROCESSAMENTO,33632.06,0
CORONEL,33631.27,0
SEGUNDO SECRETARIO,33596.59,0
MEDICO PROGRAMA MAIS MEDICO,33570.48,0
ANALISTA EXEC EM METROLOGIA E QUALIDADE,33530.57,0
ENGENHEIRO DE OPERACOES,33411.97,0
ANALISTA AMBIENTAL,33392.38,0
